date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:43	500725/500725	---MCZ	200	added ('OK')	text/css	etag:W/%228778597c9649abf1e2a16417de22d486%22	https://site-assets.fontawesome.com/releases/v6.2.0/css/all.css	D:/valhala/site-assets.fontawesome.com/releases/v6.2.0/css/all.css	(from https://valhal.la/desktop)
23:53:43	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	D:/valhala/code.jquery.com/jquery-3.6.0.min.js	(from https://valhal.la/desktop)
23:53:44	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://valhal.la/desktop)
23:53:44	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3dee4%22	https://code.jquery.com/ui/1.12.1/jquery-ui.min.js	D:/valhala/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://valhal.la/desktop)
23:53:45	2898/2898	---MCZ	200	added ('OK')	application/javascript	etag:W/%22970a7f6bc697f12f66a4b13db59e8df2%22	https://valhal.la/index.js	D:/valhala/valhal.la/index.js	(from https://valhal.la/desktop)
23:53:45	3367/3367	---MCZ	200	added ('OK')	application/javascript	etag:W/%226eba38c579226f16ca3a02c35d297515%22	https://valhal.la/audio.js	D:/valhala/valhal.la/audio.js	(from https://valhal.la/desktop)
23:53:47	563824/563824	---M--	200	added ('OK')	image/png	etag:%22df66df5067e0e293bb3281f41c997311%22	https://valhal.la/Members/nov.png	D:/valhala/valhal.la/Members/nov.png	(from https://valhal.la/desktop)
23:53:47	150145/150145	---M--	200	added ('OK')	image/png	etag:%220e160cf538bd18ba5926a2107cffbec3%22	https://valhal.la/Members/reiko.png	D:/valhala/valhal.la/Members/reiko.png	(from https://valhal.la/desktop)
23:53:48	282125/282125	---M--	200	added ('OK')	image/png	etag:%22c7218c3dc632d3eafab198177bf1da87%22	https://valhal.la/Members/convict.png	D:/valhala/valhal.la/Members/convict.png	(from https://valhal.la/desktop)
23:53:48	97023/97023	---M--	200	added ('OK')	image/png	etag:%2267bc1df83790ddbb0f053c675aec8f55%22	https://valhal.la/Members/intelbroker.png	D:/valhala/valhal.la/Members/intelbroker.png	(from https://valhal.la/desktop)
23:53:48	200929/200929	---M--	200	added ('OK')	image/png	etag:%2261b95aa4b74a6df45a72441618ef7f01%22	https://valhal.la/Members/vayne.png	D:/valhala/valhal.la/Members/vayne.png	(from https://valhal.la/desktop)
23:53:50	737038/737038	---M--	200	added ('OK')	image/png	etag:%220b98c27f24410af2e58b59fe6b7cc3d7%22	https://valhal.la/Members/demeter.png	D:/valhala/valhal.la/Members/demeter.png	(from https://valhal.la/desktop)
23:53:56	2389400/2389400	---M--	200	added ('OK')	audio/mpeg	etag:%228102b3190eb931b4c7e4f31a5471e3a7%22	https://valhal.la/songs/audio.mp3	D:/valhala/valhal.la/songs/audio.mp3	(from https://valhal.la/desktop)
23:53:57	308/308	---M--	200	added ('OK')	image/png	etag:%2241376c607a851e3338474d076e098715%22	https://valhal.la/images/sound.png	D:/valhala/valhal.la/images/sound.png	(from https://valhal.la/desktop)
23:53:58	27745/27745	---M--	200	added ('OK')	image/jpeg	etag:%22aea86a98c002ec2f74b47524369512f8%22	https://valhal.la/images/girl.jpg	D:/valhala/valhal.la/images/girl.jpg	(from https://valhal.la/desktop.css)
23:53:58	2580717/2580717	---M--	200	added ('OK')	audio/mpeg	etag:%222e4d234bb0d3fd1a1c250237aa5d454f%22	https://valhal.la/songs/audio3.mp3	D:/valhala/valhal.la/songs/audio3.mp3	(from https://valhal.la/desktop)
23:53:58	1999026/1999026	---M--	200	added ('OK')	audio/mpeg	etag:%22854baa0a2d1d6c70636e1cffb6ffe87e%22	https://valhal.la/songs/audio4.mp3	D:/valhala/valhal.la/songs/audio4.mp3	(from https://valhal.la/desktop)
23:53:59	458/458	---M--	200	added ('OK')	image/png	etag:%22da913e731e0e67905b778daceceb84d5%22	https://win98icons.alexmeub.com/icons/png/windows-0.png	D:/valhala/win98icons.alexmeub.com/icons/png/windows-0.png	(from https://valhal.la/desktop.css)
23:53:59	110541/110541	---M--	200	added ('OK')	image/png	etag:%2277b5b9a2403df1e0f2ca39a4b0745ae8%22	https://valhal.la/images/mobile-girl.png	D:/valhala/valhal.la/images/mobile-girl.png	(from https://valhal.la/desktop.css)
23:54:00	7006/7006	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b5e%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
23:54:00	7001/7001	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b59%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
23:54:00	3765645/3765645	---M--	200	added ('OK')	audio/mpeg	etag:%226bed9172502b9d0509a0a63dd3995a95%22	https://valhal.la/songs/audio2.mp3	D:/valhala/valhal.la/songs/audio2.mp3	(from https://valhal.la/desktop)
23:54:01	6313/6313	---M--	200	added ('OK')	image/png	etag:%2228feccc0-18a9%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
23:54:01	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
23:54:01	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
23:54:01	7013/7013	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b65%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	D:/valhala/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
